,id_jugador,id_pais_jugador,id_pais_contra,fecha_partido,posicion,minutos_jugados
1390,,,,,,7
1391,,,,,,9
1392,,,,,,20
1393,,,,,,31
1394,,,,,,90
1395,,,,,,17
1396,,,,,,27
1397,,,,,,11
1398,,,,,,28
1399,,,,,,90
1400,,,,,,90
1401,,,,,,90
1402,,,,,,81
1403,,,,,,90
1404,,,,,,87
1405,,,,,,70
1406,,,,,,90
1407,,,,,,19
1408,,,,,,45
1409,,,,,,32
1410,,,,,,90
1411,,,,,,90
1412,,,,,,90
1413,,,,,,81
1414,,,,,,90
1415,,,,,,75
1416,,,,,,4
1417,,,,,,24
1418,,,,,,15
1419,,,,,,72
1420,,,,,,61
1421,,,,,,90
1422,,,,,,4
1423,,,,,,23
1424,,,,,,79
1425,,,,,,5
1426,,,,,,73
1427,,,,,,11
1428,,,,,,67
1429,,,,,,3
1430,,,,,,25
1431,,,,,,2
1432,,,,,,12
1433,,,,,,32
1434,,,,,,3
1435,,,,,,1
1436,,,,,,7
1437,,,,,,75
1438,,,,,,58
1439,,,,,,18
1440,,,,,,45
1441,,,,,,25
1442,,,,,,13
1443,,,,,,45
1444,,,,,,45
1445,,,,,,53
1446,,,,,,16
1447,,,,,,45
1448,,,,,,16
1449,,,,,,45
1450,,,,,,51
1451,,,,,,56
1452,,,,,,69
1453,,,,,,52
1454,,,,,,32
1455,,,,,,32
1456,,,,,,45
1457,,,,,,22
1458,,,,,,90
1459,,,,,,45
1460,,,,,,56
1461,,,,,,90
1462,,,,,,1
1463,,,,,,16
1464,,,,,,27
1465,,,,,,82
1466,,,,,,105
1467,,,,,,16
1468,,,,,,45
1469,,,,,,72
1470,,,,,,45
1471,,,,,,27
1472,,,,,,13
1473,,,,,,23
1474,,,,,,45
1475,,,,,,80
1476,,,,,,80
1477,,,,,,80
