,id_tfmk,nombre,url_tfmk,nombre_tfmk,bandera,fecha_nacimiento,edad,pais,altura,posicion,pie,fecha_fichaje,id_equipo
8621,206040,Raúl Jiménez,/raul-jimenez/profil/spieler/206040,raul-jimenez,https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569,05/05/1991,32,México,1.87,Delantero centro,derecho,25/07/2023,931
8622,735571,Rodrigo Muniz,/rodrigo-muniz/profil/spieler/735571,rodrigo-muniz,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,04/05/2001,22,Brasil,1.86,Delantero centro,derecho,20/08/2021,931
8623,249994,José Sá,/jose-sa/profil/spieler/249994,jose-sa,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,17/01/1993,31,Portugal,1.92,Portero,derecho,15/07/2021,543
8624,136401,Daniel Bentley,/daniel-bentley/profil/spieler/136401,daniel-bentley,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,13/07/1993,30,Inglaterra,1.93,Portero, ,25/01/2023,543
8625,215810,Tom King,/tom-king/profil/spieler/215810,tom-king,https://tmssl.akamaized.net/images/flagge/verysmall/191.png?lm=1520611569,09/03/1995,28,Gales,1.94,Portero,derecho,03/07/2023,543
8626,525247,Max Kilman,/max-kilman/profil/spieler/525247,max-kilman,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,23/05/1997,26,Inglaterra,1.94,Defensa central,izquierdo,09/08/2018,543
8627,606718,Toti,/toti/profil/spieler/606718,toti,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,16/01/1999,25,Portugal,1.87,Defensa central,izquierdo,02/09/2020,543
8628,438001,Santiago Bueno,/santiago-bueno/profil/spieler/438001,santiago-bueno,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,09/11/1998,25,Uruguay,1.90,Defensa central,derecho,31/08/2023,543
8629,121477,Craig Dawson,/craig-dawson/profil/spieler/121477,craig-dawson,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,06/05/1990,33,Inglaterra,1.88,Defensa central,derecho,22/01/2023,543
8630,578391,Rayan Aït-Nouri,/rayan-ait-nouri/profil/spieler/578391,rayan-ait-nouri,https://tmssl.akamaized.net/images/flagge/verysmall/4.png?lm=1520611569,06/06/2001,22,Argelia,1.80,Lateral izquierdo,izquierdo,09/07/2021,543
8631,698678,Hugo Bueno,/hugo-bueno/profil/spieler/698678,hugo-bueno,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,18/09/2002,21,España,1.80,Lateral izquierdo,izquierdo,01/07/2022,543
